Variant,Sec,Date,Time,Qty,BuySell,TradePrice,execNext, execAvg, execBest, execWorst
10_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121824,-1,S,48430.0,48430.0,48430.0,48430.0,48430.0
10_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121961,1,B,47830.0,47830.0,47830.0,47830.0,47830.0
10_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482121962,1,B,47805.0,47805.0,47805.0,47805.0,47805.0
10_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122003,-1,S,47540.0,47540.0,47540.0,47540.0,47540.0
10_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122004,-1,S,47500.0,47500.0,47500.0,47500.0,47500.0
10_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122154,1,B,47650.0,47650.0,47650.0,47650.0,47650.0
10_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122155,1,B,47650.0,47650.0,47650.0,47650.0,47650.0
10_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122277,-1,S,47670.0,47670.0,47670.0,47670.0,47670.0
10_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122278,-1,S,47655.0,47655.0,47655.0,47655.0,47655.0
10_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122340,1,B,48100.0,48100.0,48100.0,48100.0,48100.0
10_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122341,1,B,48130.0,48130.0,48130.0,48130.0,48130.0
10_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122358,-1,S,48135.0,48135.0,48135.0,48135.0,48135.0
10_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122359,-1,S,48205.0,48205.0,48205.0,48205.0,48205.0
10_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122436,1,B,48090.0,48090.0,48090.0,48090.0,48090.0
10_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122437,1,B,48140.0,48140.0,48140.0,48140.0,48140.0
10_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122461,-1,S,48280.0,48280.0,48280.0,48280.0,48280.0
10_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122462,-1,S,48275.0,48275.0,48275.0,48275.0,48275.0
10_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122562,1,B,48620.0,48620.0,48620.0,48620.0,48620.0
10_5_MaxPos_1,LAURUSLABS-EQ,20161219,1482122563,1,B,48590.0,48590.0,48590.0,48590.0,48590.0
